20,1,0x0,0,0x00000000,72,455
40,2,0x1,0,0x00000000,72,383
60,3,0x2,0,0x00000000,72,335
80,4,0x3,0,0x00000000,32,311
100,5,0x4,0,0x00000000,88,335
120,6,0x5,0,0x00000000,36,515
140,7,0x6,0,0x00000000,72,383
160,8,0x7,0,0x00000000,72,311
180,9,0x8,0,0x00000000,72,479
200,10,0x9,0,0x00000000,32,575
220,11,0xa,0,0x00000000,72,311
240,12,0xb,0,0x00000000,36,455
260,13,0xc,0,0x00000000,32,311
280,14,0xd,0,0x00000000,72,311
300,15,0xe,1,0x00000000,96,335
320,16,0xf,0,0x00000000,72,455
340,17,0x10,0,0x00000000,36,503
360,18,0x11,0,0x00000000,72,359
380,19,0x2,0,0x00000000,72,335
400,20,0x12,0,0x00000000,72,311
420,21,0x13,0,0x00000000,32,311
440,22,0x14,0,0x00000000,72,311
460,23,0x15,0,0x00000000,80,335
480,24,0x16,0,0x00000000,88,323
500,25,0x8,0,0x00000000,72,479
520,26,0x17,0,0x00000000,96,455
540,27,0x18,0,0x00000000,36,335
560,28,0x19,0,0x00000000,72,335
580,29,0x1a,0,0x00000000,44,311
600,30,0x1b,0,0x00000000,32,311
620,31,0x1c,0,0x00000000,72,383
640,32,0x1d,0,0x00000000,88,359
660,33,0x1e,0,0x00000000,72,311
680,34,0x1f,0,0x00000000,88,335
700,35,0x20,0,0x00000000,36,335
720,36,0x21,0,0x00000000,96,335
740,37,0xb,0,0x00000000,36,455
760,38,0x22,0,0x00000000,32,479
780,39,0x19,0,0x00000000,72,335
800,40,0x23,0,0x00000000,32,467
820,41,0x15,0,0x00000000,80,335
840,42,0x24,0,0x00000000,72,335
860,43,0x25,0,0x00000000,36,539
880,41,0x26,0,0x00000000,24,335
900,44,0x27,0,0x00000000,44,527
920,45,0x28,0,0x00000000,88,311
940,46,0x29,0,0x00000000,24,359
960,47,0x2a,0,0x00000000,32,30
980,48,0x2b,0,0x00000000,44,335
1000,49,0x2c,0,0x00000000,80,479